#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
50,0.10000000000000007,-483861.14604205056,46381.74434831782,-437479.4016937327,146.88596063585936,0.9611142796970737
100,0.20000000000000015,-477746.44661901286,50779.91059446847,-426966.5360245444,160.81447676174065,0.9612384510936428
150,0.3000000000000002,-474248.99144321284,55470.274314481765,-418778.7171287311,175.66835063875286,0.9620367432747798
200,0.4000000000000003,-470619.1630287387,59269.71896595234,-411349.44406278635,187.7007803232193,0.9620367432747798
250,0.5000000000000003,-467613.0147846686,62917.14742432069,-404695.8673603479,199.25179118936057,0.9620367432747798
300,0.6000000000000004,-465012.7990704784,66548.2212680562,-398464.5778024222,210.75100876236624,0.9652315796050159
350,0.7000000000000005,-461759.767521505,68936.36577029739,-392823.40175120765,218.31400373544483,0.9691642547288514
400,0.8000000000000006,-459742.0877446595,71520.27292162384,-388221.8148230357,226.4969578146658,0.9709464872831014
450,0.9000000000000007,-457015.8434159588,73381.38691041339,-383634.4565055454,232.39090423555123,0.9709464872831014
500,1.0000000000000007,-455177.63553275145,75410.9076230637,-379766.72790968773,238.8181765103773,0.9765879035016686
550,1.1000000000000008,-453518.1331203508,77068.74146190187,-376449.3916584489,244.06835671411537,0.9793013935545843
600,1.2000000000000008,-451371.58361215796,78641.04391654348,-372730.5396956145,249.04766828820732,0.9793013935545843
650,1.300000000000001,-449584.7130802749,79917.7730867092,-369666.93999356567,253.0909312845982,0.9793013935545843
700,1.400000000000001,-447558.9792760657,80989.80142303841,-366569.1778530273,256.4859289118552,0.9829147897594
750,1.500000000000001,-446139.91707418393,82214.66103798407,-363925.25603619986,260.364926644977,0.9831904490778626
800,1.6000000000000012,-444529.13613080233,83077.50565283629,-361451.63047796604,263.09746208349475,0.9831904490778626
850,1.7000000000000013,-442464.67670431826,84089.46016490553,-358375.21653941274,266.3022124160568,0.9831904490778626
900,1.8000000000000014,-441872.3722522543,85516.23652917822,-356356.13572307606,270.8206586242218,0.9831904490778626
950,1.9000000000000015,-440463.1189169311,85833.22688188072,-354629.8920350504,271.8245327372638,0.9847110057731169
1000,2.0000000000000013,-439475.5318202819,86920.34566781402,-352555.18615246785,275.26732018393494,0.9847110057731169
1050,2.0999999999999903,-437897.5864513356,86988.9706766695,-350908.6157746661,275.48464815404503,0.9847110057731169
1100,2.1999999999999793,-437384.19337574067,87766.84150359256,-349617.3518721481,277.94808080990083,0.9847110057731169
1150,2.2999999999999683,-436472.89088960993,88177.28364685527,-348295.60724275466,279.24790662166487,0.9847110057731169
1200,2.3999999999999573,-435131.5696042576,88069.2241172716,-347062.345486986,278.9056937956539,0.9847110057731169
1250,2.4999999999999463,-434132.2284909447,88632.73759936297,-345499.49089158175,280.6902799579734,0.9847110057731169
1300,2.5999999999999353,-434207.45431315084,89556.62806455838,-344650.82624859246,283.61614099250903,0.9847110057731169
1350,2.6999999999999242,-433394.75865907106,90093.29408745229,-343301.46457161877,285.31570415946135,0.9847110057731169
1400,2.7999999999999132,-432451.8593743392,90177.9760728199,-342273.8833015193,285.58388283501665,0.9847110057731169
1450,2.899999999999902,-431801.6123610672,90666.02556822204,-341135.58679284516,287.1294827251723,0.9858434070767986
1500,2.999999999999891,-430170.350240648,90331.18414723163,-339839.1660934164,286.06907621235354,0.9864227382705195
1550,3.09999999999988,-430115.3712481421,91344.69007465767,-338770.6811734844,289.2787397093132,0.9864227382705195
1600,3.199999999999869,-430443.30787268677,92329.65673776087,-338113.6511349259,292.398022447317,0.9864227382705195
1650,3.299999999999858,-429668.94440720696,92347.11079511401,-337321.83361209295,292.4532975564646,0.9864227382705195
1700,3.399999999999847,-429370.29263618146,92170.29167717183,-337200.00095900963,291.89333056163406,0.9864227382705195
1750,3.499999999999836,-428989.5862930382,91989.19874918158,-337000.38754385663,291.31982887328775,0.9864227382705195
1800,3.599999999999825,-428292.1379306542,92336.10518882493,-335956.0327418293,292.41844399339,0.9864227382705195
1850,3.699999999999814,-427641.2872457304,91849.58089831693,-335791.7063474135,290.8776742619355,0.9864227382705195
1900,3.799999999999803,-427460.8805012305,92270.03445561306,-335190.8460456174,292.2092051375837,0.9869659815981823
1950,3.899999999999792,-428000.4536143297,92901.28441764205,-335099.16919668764,294.20830539516896,0.9869659815981823
2000,3.999999999999781,-426868.7804252545,92276.2323718078,-334592.5480534467,292.2288332668616,0.9870433075784266
2050,4.0999999999997705,-426670.1437417972,92459.31391961302,-334210.82982218417,292.8086326987699,0.9880240464412937
2100,4.1999999999997595,-426515.14338627993,92744.4745128369,-333770.66887344304,293.7117054110988,0.9880240464412937
2150,4.2999999999997485,-426693.2029174003,93266.25255476404,-333426.95036263624,295.3641199548814,0.9874618486508013
2200,4.3999999999997375,-426364.1491605728,93640.70217643381,-332723.446984139,296.5499613491948,0.9882760696753562
2250,4.499999999999726,-425666.8291235459,92817.58696343697,-332849.24216010893,293.94324462316865,0.9895926907976518
2300,4.599999999999715,-425943.231193335,93377.02343661536,-332566.20775671967,295.7149193398511,0.9895926907976518
2350,4.699999999999704,-426314.35006729,94100.36892624418,-332213.9811410458,298.005676158263,0.9895926907976518
2400,4.799999999999693,-426188.44038688345,93792.96457823404,-332395.47580864944,297.0321598837991,0.9895926907976518
2450,4.899999999999682,-425901.81383806816,94023.46801949952,-331878.34581856866,297.7621393159198,0.9895926907976518
2500,4.999999999999671,-425458.32088864315,93676.8400367077,-331781.48085193546,296.66440603850606,0.9895926907976518
